contrato_id,Contrato,Órgão,orgao_curto,Município,Situação,Empresa,Período,Valor do Contrato,valor_contrato,data_inicio_txt,data_fim_txt,ano_inicio,ano_fim,dias_duracao,dias_ate_fim,tipo_contrato,objeto,n_municipios_contrato,flag_multimunicipal,flag_teste,flag_valor_zero,flag_andamento_vencido,status_prazo
40,AJ/PE/094/10 - PFE rodovias ERS-437- Entr.ERS-448 (p/Nova Roma do Sul)-Entr. ERS-122(A)(Antônio Prado e ERS-448-Entr.ERS-437 (p/Antônio Prado)-Nova Roma do Sul,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Antônio Prado, Nova Roma do Sul",Paralisado,STE - SERVIÇOS TÉCNICOS DE ENGENHARIA S/A,10/10/2010 a 26/06/2026,"R$ 585.067,48",585067.48,10/10/2010,26/06/2026,2010,2026,5738,15,AJ/PE,PFE rodovias ERS-437- Entr.ERS-448 (p/Nova Roma do Sul)-Entr. ERS-122(A)(Antônio Prado e ERS-448-Entr.ERS-437 (p/Antônio Prado)-Nova Roma do Sul,2,True,False,False,False,Vigente pela data
41,"AJ/PE/106/10 - Projeto final de engenharia para ERS-428, trecho: Água Santa - Tapejara, extensão de 10,80km.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Água Santa, Tapejara",Concluída,ENGEPLUS ENGENHARIA E CONSULTORIA LTDA,13/12/2010 a 23/12/2025,"R$ 355.744,57",355744.57,13/12/2010,23/12/2025,2010,2025,5489,-170,AJ/PE,"Projeto final de engenharia para ERS-428, trecho: Água Santa - Tapejara, extensão de 10,80km.",2,True,False,False,False,Encerrado pela data
42,AJ/PE/111-26 - Teste para medições,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Porto Alegre,Andamento,ECOPLAN ENGENHARIA LTDA.,01/04/2022 a 27/03/2023,"R$ 1.004.013,04",1004013.04,01/04/2022,27/03/2023,2022,2023,360,-1172,AJ/PE,26 - Teste para medições,1,False,True,False,True,Encerrado pela data
43,"AJ/TP/001/25 - Lote 9 - Rodovia ERS-129, extensão: 27,31 km; trecho: Estrela – Roca Sales",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Estrela,Andamento,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,07/03/2025 a 22/01/2027,"R$ 55.905.418,81",55905418.81,07/03/2025,22/01/2027,2025,2027,686,225,AJ/TP,"Lote 9 - Rodovia ERS-129, extensão: 27,31 km; trecho: Estrela – Roca Sales",1,False,False,False,False,Vigente pela data
44,AJ/TP/002/25 - Lote 1 - ERS-332 A - Trecho de Encantado à Anta Gorda,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Anta Gorda,Andamento,CONSÓRCIO LCM/MATT,10/03/2025 a 22/01/2027,"R$ 93.161.532,47",93161532.47,10/03/2025,22/01/2027,2025,2027,683,225,AJ/TP,Lote 1 - ERS-332 A - Trecho de Encantado à Anta Gorda,1,False,False,False,False,Vigente pela data
45,"AJ/TP/003/25 - Lote 5 - rodovia ERS-448, da divisa do Município de Nova Roma do Sul à Ponte de Ferro sobre o Rio das Antas, com 14,73 km de extensão,",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Nova Roma do Sul,Andamento,DALFOVO CONSTRUTORA LTDA,12/03/2025 a 12/03/2027,"R$ 55.199.617,98",55199617.98,12/03/2025,12/03/2027,2025,2027,730,274,AJ/TP,"Lote 5 - rodovia ERS-448, da divisa do Município de Nova Roma do Sul à Ponte de Ferro sobre o Rio das Antas, com 14,73 km de extensão,",1,False,False,False,False,Vigente pela data
46,AJ/TP/004/12 - TORQUATO SEVERO - BAGÉ,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Bagé,Andamento,"ICCILA INDUSTRIA, COMERCIO E CONSTRUÇÃO IBAGÊ LTDA",03/09/2021 a 31/12/2026,"R$ 46.128.905,41",46128905.41,03/09/2021,31/12/2026,2021,2026,1945,203,AJ/TP,TORQUATO SEVERO - BAGÉ,1,False,False,False,False,Vigente pela data
47,"AJ/TP/004/25 - Lote 6, ERS-448, Trecho km 31+540 ao km 55+670, Ponte sobre o Rio das Antas até o entroncamento com a RSC-453 (para Farroupilha), com 24,13 km ext.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Farroupilha,Andamento,DALFOVO CONSTRUTORA LTDA,12/03/2025 a 22/01/2027,"R$ 62.869.019,46",62869019.46,12/03/2025,22/01/2027,2025,2027,681,225,AJ/TP,"Lote 6, ERS-448, Trecho km 31+540 ao km 55+670, Ponte sobre o Rio das Antas até o entroncamento com a RSC-453 (para Farroupilha), com 24,13 km ext.",1,False,False,False,False,Vigente pela data
48,"AJ/TP/005/25 - Lote 14, ERS-437 - Trecho do km 9+200 ao Km 16+600, em direção ao entroncamento com a ERS-448 (à Nova Roma do Sul).",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Nova Roma do Sul,Andamento,SBS - ENGENHARIA E CONSTRUCOES LTDA,03/04/2025 a 03/04/2027,"R$ 68.318.439,04",68318439.04,03/04/2025,03/04/2027,2025,2027,730,296,AJ/TP,"Lote 14, ERS-437 - Trecho do km 9+200 ao Km 16+600, em direção ao entroncamento com a ERS-448 (à Nova Roma do Sul).",1,False,False,False,False,Vigente pela data
49,"AJ/TP/006/25 - Lote 2 - ERS-332, trecho do km 32,20 ao Km 92,01 em direção ao entroncamento com a BR-386 (p/ Lajeado)",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Lajeado,Andamento,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,27/02/2025 a 22/01/2027,"R$ 107.243.067,98",107243067.98,27/02/2025,22/01/2027,2025,2027,694,225,AJ/TP,"Lote 2 - ERS-332, trecho do km 32,20 ao Km 92,01 em direção ao entroncamento com a BR-386 (p/ Lajeado)",1,False,False,False,False,Vigente pela data
